Category: All categories

Week,Solar panel: (Nigeria)
2019-11-10,39
2019-11-17,42
2019-11-24,44
2019-12-01,36
2019-12-08,45
2019-12-15,37
2019-12-22,24
2019-12-29,31
2020-01-05,34
2020-01-12,32
2020-01-19,30
2020-01-26,35
2020-02-02,39
2020-02-09,32
2020-02-16,41
2020-02-23,42
2020-03-01,42
2020-03-08,44
2020-03-15,44
2020-03-22,38
2020-03-29,42
2020-04-05,33
2020-04-12,46
2020-04-19,34
2020-04-26,34
2020-05-03,40
2020-05-10,41
2020-05-17,40
2020-05-24,44
2020-05-31,46
2020-06-07,44
2020-06-14,33
2020-06-21,34
2020-06-28,42
2020-07-05,33
2020-07-12,34
2020-07-19,35
2020-07-26,37
2020-08-02,33
2020-08-09,31
2020-08-16,37
2020-08-23,78
2020-08-30,34
2020-09-06,35
2020-09-13,34
2020-09-20,28
2020-09-27,34
2020-10-04,29
2020-10-11,29
2020-10-18,28
2020-10-25,32
2020-11-01,28
2020-11-08,31
2020-11-15,29
2020-11-22,27
2020-11-29,34
2020-12-06,26
2020-12-13,32
2020-12-20,30
2020-12-27,25
2021-01-03,25
2021-01-10,27
2021-01-17,27
2021-01-24,34
2021-01-31,36
2021-02-07,35
2021-02-14,28
2021-02-21,31
2021-02-28,35
2021-03-07,41
2021-03-14,35
2021-03-21,32
2021-03-28,34
2021-04-04,44
2021-04-11,37
2021-04-18,36
2021-04-25,35
2021-05-02,37
2021-05-09,26
2021-05-16,36
2021-05-23,43
2021-05-30,34
2021-06-06,33
2021-06-13,48
2021-06-20,32
2021-06-27,27
2021-07-04,39
2021-07-11,29
2021-07-18,35
2021-07-25,35
2021-08-01,34
2021-08-08,33
2021-08-15,31
2021-08-22,34
2021-08-29,34
2021-09-05,29
2021-09-12,32
2021-09-19,24
2021-09-26,25
2021-10-03,27
2021-10-10,37
2021-10-17,28
2021-10-24,31
2021-10-31,22
2021-11-07,38
2021-11-14,30
2021-11-21,28
2021-11-28,30
2021-12-05,28
2021-12-12,29
2021-12-19,24
2021-12-26,27
2022-01-02,41
2022-01-09,40
2022-01-16,33
2022-01-23,40
2022-01-30,40
2022-02-06,36
2022-02-13,46
2022-02-20,49
2022-02-27,50
2022-03-06,59
2022-03-13,72
2022-03-20,81
2022-03-27,65
2022-04-03,55
2022-04-10,53
2022-04-17,51
2022-04-24,48
2022-05-01,45
2022-05-08,54
2022-05-15,45
2022-05-22,51
2022-05-29,52
2022-06-05,49
2022-06-12,52
2022-06-19,58
2022-06-26,62
2022-07-03,49
2022-07-10,53
2022-07-17,50
2022-07-24,42
2022-07-31,49
2022-08-07,44
2022-08-14,45
2022-08-21,44
2022-08-28,41
2022-09-04,45
2022-09-11,42
2022-09-18,45
2022-09-25,42
2022-10-02,43
2022-10-09,36
2022-10-16,45
2022-10-23,48
2022-10-30,41
2022-11-06,52
2022-11-13,51
2022-11-20,51
2022-11-27,48
2022-12-04,50
2022-12-11,53
2022-12-18,45
2022-12-25,35
2023-01-01,36
2023-01-08,44
2023-01-15,58
2023-01-22,60
2023-01-29,60
2023-02-05,56
2023-02-12,48
2023-02-19,45
2023-02-26,43
2023-03-05,52
2023-03-12,48
2023-03-19,50
2023-03-26,59
2023-04-02,53
2023-04-09,53
2023-04-16,53
2023-04-23,55
2023-04-30,52
2023-05-07,58
2023-05-14,59
2023-05-21,56
2023-05-28,68
2023-06-04,74
2023-06-11,78
2023-06-18,76
2023-06-25,69
2023-07-02,65
2023-07-09,70
2023-07-16,70
2023-07-23,75
2023-07-30,66
2023-08-06,63
2023-08-13,57
2023-08-20,61
2023-08-27,58
2023-09-03,57
2023-09-10,64
2023-09-17,60
2023-09-24,55
2023-10-01,58
2023-10-08,62
2023-10-15,62
2023-10-22,57
2023-10-29,55
2023-11-05,60
2023-11-12,63
2023-11-19,64
2023-11-26,68
2023-12-03,61
2023-12-10,59
2023-12-17,53
2023-12-24,50
2023-12-31,54
2024-01-07,73
2024-01-14,61
2024-01-21,76
2024-01-28,67
2024-02-04,69
2024-02-11,88
2024-02-18,83
2024-02-25,91
2024-03-03,100
2024-03-10,80
2024-03-17,87
2024-03-24,91
2024-03-31,88
2024-04-07,87
2024-04-14,89
2024-04-21,99
2024-04-28,94
2024-05-05,87
2024-05-12,79
2024-05-19,74
2024-05-26,76
2024-06-02,75
2024-06-09,61
2024-06-16,67
2024-06-23,68
2024-06-30,62
2024-07-07,70
2024-07-14,54
2024-07-21,56
2024-07-28,45
2024-08-04,56
2024-08-11,47
2024-08-18,57
2024-08-25,52
2024-09-01,60
2024-09-08,64
2024-09-15,57
2024-09-22,53
2024-09-29,48
2024-10-06,64
2024-10-13,75
2024-10-20,71
2024-10-27,70
2024-11-03,80
2024-11-10,67
