Category: All categories

Week,Battery: (Nigeria)
2019-11-10,51
2019-11-17,52
2019-11-24,53
2019-12-01,51
2019-12-08,47
2019-12-15,51
2019-12-22,45
2019-12-29,46
2020-01-05,51
2020-01-12,49
2020-01-19,52
2020-01-26,50
2020-02-02,49
2020-02-09,51
2020-02-16,51
2020-02-23,51
2020-03-01,50
2020-03-08,52
2020-03-15,55
2020-03-22,53
2020-03-29,42
2020-04-05,52
2020-04-12,51
2020-04-19,53
2020-04-26,55
2020-05-03,67
2020-05-10,70
2020-05-17,68
2020-05-24,67
2020-05-31,70
2020-06-07,65
2020-06-14,63
2020-06-21,65
2020-06-28,61
2020-07-05,64
2020-07-12,61
2020-07-19,63
2020-07-26,64
2020-08-02,62
2020-08-09,59
2020-08-16,60
2020-08-23,57
2020-08-30,59
2020-09-06,61
2020-09-13,61
2020-09-20,57
2020-09-27,52
2020-10-04,56
2020-10-11,57
2020-10-18,46
2020-10-25,53
2020-11-01,48
2020-11-08,56
2020-11-15,52
2020-11-22,49
2020-11-29,50
2020-12-06,53
2020-12-13,51
2020-12-20,53
2020-12-27,51
2021-01-03,51
2021-01-10,55
2021-01-17,50
2021-01-24,50
2021-01-31,49
2021-02-07,52
2021-02-14,49
2021-02-21,54
2021-02-28,54
2021-03-07,48
2021-03-14,53
2021-03-21,57
2021-03-28,60
2021-04-04,52
2021-04-11,57
2021-04-18,56
2021-04-25,51
2021-05-02,52
2021-05-09,55
2021-05-16,51
2021-05-23,54
2021-05-30,58
2021-06-06,58
2021-06-13,57
2021-06-20,58
2021-06-27,55
2021-07-04,59
2021-07-11,58
2021-07-18,58
2021-07-25,57
2021-08-01,55
2021-08-08,53
2021-08-15,55
2021-08-22,51
2021-08-29,56
2021-09-05,54
2021-09-12,52
2021-09-19,48
2021-09-26,46
2021-10-03,52
2021-10-10,48
2021-10-17,46
2021-10-24,49
2021-10-31,48
2021-11-07,54
2021-11-14,54
2021-11-21,47
2021-11-28,47
2021-12-05,48
2021-12-12,49
2021-12-19,48
2021-12-26,48
2022-01-02,58
2022-01-09,59
2022-01-16,56
2022-01-23,64
2022-01-30,65
2022-02-06,60
2022-02-13,69
2022-02-20,69
2022-02-27,69
2022-03-06,75
2022-03-13,77
2022-03-20,78
2022-03-27,73
2022-04-03,71
2022-04-10,70
2022-04-17,70
2022-04-24,76
2022-05-01,71
2022-05-08,71
2022-05-15,68
2022-05-22,71
2022-05-29,78
2022-06-05,75
2022-06-12,76
2022-06-19,77
2022-06-26,82
2022-07-03,78
2022-07-10,79
2022-07-17,72
2022-07-24,75
2022-07-31,70
2022-08-07,67
2022-08-14,73
2022-08-21,67
2022-08-28,62
2022-09-04,67
2022-09-11,73
2022-09-18,77
2022-09-25,75
2022-10-02,72
2022-10-09,67
2022-10-16,68
2022-10-23,71
2022-10-30,67
2022-11-06,63
2022-11-13,69
2022-11-20,68
2022-11-27,65
2022-12-04,65
2022-12-11,73
2022-12-18,70
2022-12-25,62
2023-01-01,64
2023-01-08,73
2023-01-15,68
2023-01-22,73
2023-01-29,68
2023-02-05,75
2023-02-12,63
2023-02-19,60
2023-02-26,61
2023-03-05,71
2023-03-12,67
2023-03-19,71
2023-03-26,77
2023-04-02,72
2023-04-09,69
2023-04-16,72
2023-04-23,85
2023-04-30,87
2023-05-07,78
2023-05-14,77
2023-05-21,78
2023-05-28,77
2023-06-04,84
2023-06-11,83
2023-06-18,90
2023-06-25,86
2023-07-02,78
2023-07-09,86
2023-07-16,88
2023-07-23,88
2023-07-30,82
2023-08-06,85
2023-08-13,73
2023-08-20,84
2023-08-27,77
2023-09-03,84
2023-09-10,81
2023-09-17,76
2023-09-24,72
2023-10-01,79
2023-10-08,83
2023-10-15,75
2023-10-22,71
2023-10-29,78
2023-11-05,87
2023-11-12,80
2023-11-19,80
2023-11-26,78
2023-12-03,77
2023-12-10,79
2023-12-17,83
2023-12-24,75
2023-12-31,80
2024-01-07,77
2024-01-14,83
2024-01-21,83
2024-01-28,77
2024-02-04,79
2024-02-11,75
2024-02-18,79
2024-02-25,82
2024-03-03,81
2024-03-10,95
2024-03-17,91
2024-03-24,71
2024-03-31,89
2024-04-07,81
2024-04-14,84
2024-04-21,86
2024-04-28,88
2024-05-05,75
2024-05-12,84
2024-05-19,90
2024-05-26,83
2024-06-02,100
2024-06-09,95
2024-06-16,83
2024-06-23,85
2024-06-30,78
2024-07-07,94
2024-07-14,85
2024-07-21,81
2024-07-28,77
2024-08-04,88
2024-08-11,79
2024-08-18,84
2024-08-25,79
2024-09-01,78
2024-09-08,90
2024-09-15,80
2024-09-22,74
2024-09-29,76
2024-10-06,78
2024-10-13,86
2024-10-20,80
2024-10-27,86
2024-11-03,85
2024-11-10,74
