Category: All categories

Week,solar generator: (Nigeria)
2019-11-10,0
2019-11-17,37
2019-11-24,27
2019-12-01,0
2019-12-08,23
2019-12-15,20
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,27
2020-02-02,0
2020-02-09,21
2020-02-16,24
2020-02-23,20
2020-03-01,0
2020-03-08,28
2020-03-15,0
2020-03-22,19
2020-03-29,24
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,24
2020-05-03,27
2020-05-10,0
2020-05-17,18
2020-05-24,20
2020-05-31,0
2020-06-07,20
2020-06-14,22
2020-06-21,0
2020-06-28,0
2020-07-05,15
2020-07-12,0
2020-07-19,0
2020-07-26,25
2020-08-02,0
2020-08-09,16
2020-08-16,18
2020-08-23,23
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,23
2020-09-27,16
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,16
2020-11-01,0
2020-11-08,26
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,25
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,15
2021-02-21,16
2021-02-28,17
2021-03-07,18
2021-03-14,16
2021-03-21,0
2021-03-28,21
2021-04-04,17
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,16
2021-05-16,21
2021-05-23,18
2021-05-30,20
2021-06-06,0
2021-06-13,15
2021-06-20,26
2021-06-27,25
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,15
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,19
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,18
2021-10-10,0
2021-10-17,16
2021-10-24,25
2021-10-31,17
2021-11-07,15
2021-11-14,15
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,20
2022-01-09,19
2022-01-16,14
2022-01-23,13
2022-01-30,23
2022-02-06,13
2022-02-13,25
2022-02-20,19
2022-02-27,27
2022-03-06,38
2022-03-13,44
2022-03-20,44
2022-03-27,29
2022-04-03,25
2022-04-10,35
2022-04-17,32
2022-04-24,27
2022-05-01,24
2022-05-08,28
2022-05-15,23
2022-05-22,28
2022-05-29,24
2022-06-05,19
2022-06-12,48
2022-06-19,26
2022-06-26,37
2022-07-03,21
2022-07-10,28
2022-07-17,32
2022-07-24,24
2022-07-31,31
2022-08-07,24
2022-08-14,26
2022-08-21,19
2022-08-28,15
2022-09-04,24
2022-09-11,18
2022-09-18,29
2022-09-25,17
2022-10-02,14
2022-10-09,16
2022-10-16,25
2022-10-23,18
2022-10-30,20
2022-11-06,12
2022-11-13,28
2022-11-20,24
2022-11-27,25
2022-12-04,19
2022-12-11,24
2022-12-18,23
2022-12-25,24
2023-01-01,0
2023-01-08,23
2023-01-15,22
2023-01-22,27
2023-01-29,25
2023-02-05,19
2023-02-12,22
2023-02-19,20
2023-02-26,18
2023-03-05,37
2023-03-12,32
2023-03-19,34
2023-03-26,27
2023-04-02,25
2023-04-09,25
2023-04-16,29
2023-04-23,24
2023-04-30,28
2023-05-07,27
2023-05-14,41
2023-05-21,32
2023-05-28,41
2023-06-04,52
2023-06-11,47
2023-06-18,51
2023-06-25,35
2023-07-02,42
2023-07-09,45
2023-07-16,40
2023-07-23,38
2023-07-30,41
2023-08-06,36
2023-08-13,42
2023-08-20,30
2023-08-27,40
2023-09-03,32
2023-09-10,32
2023-09-17,27
2023-09-24,28
2023-10-01,26
2023-10-08,36
2023-10-15,33
2023-10-22,41
2023-10-29,28
2023-11-05,40
2023-11-12,43
2023-11-19,35
2023-11-26,43
2023-12-03,40
2023-12-10,34
2023-12-17,38
2023-12-24,40
2023-12-31,29
2024-01-07,58
2024-01-14,45
2024-01-21,60
2024-01-28,38
2024-02-04,58
2024-02-11,76
2024-02-18,76
2024-02-25,69
2024-03-03,70
2024-03-10,77
2024-03-17,75
2024-03-24,91
2024-03-31,94
2024-04-07,90
2024-04-14,92
2024-04-21,96
2024-04-28,100
2024-05-05,77
2024-05-12,66
2024-05-19,63
2024-05-26,60
2024-06-02,89
2024-06-09,63
2024-06-16,55
2024-06-23,56
2024-06-30,68
2024-07-07,48
2024-07-14,45
2024-07-21,44
2024-07-28,42
2024-08-04,46
2024-08-11,48
2024-08-18,61
2024-08-25,41
2024-09-01,42
2024-09-08,66
2024-09-15,48
2024-09-22,52
2024-09-29,49
2024-10-06,60
2024-10-13,56
2024-10-20,69
2024-10-27,58
2024-11-03,70
2024-11-10,70
