Category: All categories

Week,Inverter: (Nigeria)
2019-11-10,38
2019-11-17,44
2019-11-24,48
2019-12-01,39
2019-12-08,41
2019-12-15,39
2019-12-22,34
2019-12-29,32
2020-01-05,36
2020-01-12,39
2020-01-19,41
2020-01-26,36
2020-02-02,42
2020-02-09,39
2020-02-16,48
2020-02-23,49
2020-03-01,52
2020-03-08,50
2020-03-15,50
2020-03-22,50
2020-03-29,43
2020-04-05,38
2020-04-12,41
2020-04-19,42
2020-04-26,46
2020-05-03,48
2020-05-10,49
2020-05-17,45
2020-05-24,53
2020-05-31,50
2020-06-07,46
2020-06-14,43
2020-06-21,39
2020-06-28,38
2020-07-05,39
2020-07-12,37
2020-07-19,36
2020-07-26,37
2020-08-02,37
2020-08-09,33
2020-08-16,34
2020-08-23,33
2020-08-30,36
2020-09-06,36
2020-09-13,42
2020-09-20,33
2020-09-27,31
2020-10-04,34
2020-10-11,32
2020-10-18,32
2020-10-25,35
2020-11-01,32
2020-11-08,38
2020-11-15,40
2020-11-22,38
2020-11-29,36
2020-12-06,35
2020-12-13,39
2020-12-20,34
2020-12-27,35
2021-01-03,36
2021-01-10,38
2021-01-17,35
2021-01-24,37
2021-01-31,37
2021-02-07,41
2021-02-14,34
2021-02-21,37
2021-02-28,38
2021-03-07,43
2021-03-14,40
2021-03-21,45
2021-03-28,46
2021-04-04,41
2021-04-11,44
2021-04-18,39
2021-04-25,40
2021-05-02,36
2021-05-09,37
2021-05-16,36
2021-05-23,36
2021-05-30,39
2021-06-06,35
2021-06-13,39
2021-06-20,37
2021-06-27,36
2021-07-04,37
2021-07-11,34
2021-07-18,35
2021-07-25,30
2021-08-01,38
2021-08-08,30
2021-08-15,32
2021-08-22,31
2021-08-29,35
2021-09-05,34
2021-09-12,31
2021-09-19,33
2021-09-26,32
2021-10-03,29
2021-10-10,35
2021-10-17,31
2021-10-24,31
2021-10-31,29
2021-11-07,32
2021-11-14,40
2021-11-21,33
2021-11-28,31
2021-12-05,35
2021-12-12,31
2021-12-19,29
2021-12-26,31
2022-01-02,37
2022-01-09,41
2022-01-16,41
2022-01-23,40
2022-01-30,40
2022-02-06,45
2022-02-13,50
2022-02-20,51
2022-02-27,54
2022-03-06,65
2022-03-13,72
2022-03-20,79
2022-03-27,73
2022-04-03,67
2022-04-10,55
2022-04-17,55
2022-04-24,50
2022-05-01,47
2022-05-08,50
2022-05-15,51
2022-05-22,51
2022-05-29,51
2022-06-05,51
2022-06-12,52
2022-06-19,52
2022-06-26,58
2022-07-03,56
2022-07-10,46
2022-07-17,50
2022-07-24,47
2022-07-31,48
2022-08-07,44
2022-08-14,42
2022-08-21,42
2022-08-28,36
2022-09-04,37
2022-09-11,40
2022-09-18,41
2022-09-25,40
2022-10-02,41
2022-10-09,39
2022-10-16,43
2022-10-23,46
2022-10-30,42
2022-11-06,41
2022-11-13,46
2022-11-20,48
2022-11-27,49
2022-12-04,46
2022-12-11,51
2022-12-18,46
2022-12-25,38
2023-01-01,41
2023-01-08,48
2023-01-15,52
2023-01-22,54
2023-01-29,56
2023-02-05,59
2023-02-12,48
2023-02-19,48
2023-02-26,44
2023-03-05,48
2023-03-12,48
2023-03-19,49
2023-03-26,54
2023-04-02,54
2023-04-09,54
2023-04-16,56
2023-04-23,53
2023-04-30,50
2023-05-07,56
2023-05-14,53
2023-05-21,55
2023-05-28,70
2023-06-04,69
2023-06-11,66
2023-06-18,68
2023-06-25,66
2023-07-02,58
2023-07-09,65
2023-07-16,71
2023-07-23,73
2023-07-30,62
2023-08-06,56
2023-08-13,57
2023-08-20,66
2023-08-27,57
2023-09-03,62
2023-09-10,64
2023-09-17,58
2023-09-24,56
2023-10-01,58
2023-10-08,64
2023-10-15,59
2023-10-22,62
2023-10-29,58
2023-11-05,58
2023-11-12,64
2023-11-19,75
2023-11-26,72
2023-12-03,66
2023-12-10,61
2023-12-17,63
2023-12-24,57
2023-12-31,67
2024-01-07,76
2024-01-14,72
2024-01-21,72
2024-01-28,65
2024-02-04,68
2024-02-11,91
2024-02-18,91
2024-02-25,91
2024-03-03,95
2024-03-10,100
2024-03-17,95
2024-03-24,95
2024-03-31,95
2024-04-07,87
2024-04-14,89
2024-04-21,85
2024-04-28,98
2024-05-05,80
2024-05-12,80
2024-05-19,81
2024-05-26,73
2024-06-02,85
2024-06-09,82
2024-06-16,64
2024-06-23,65
2024-06-30,68
2024-07-07,69
2024-07-14,59
2024-07-21,62
2024-07-28,55
2024-08-04,58
2024-08-11,58
2024-08-18,58
2024-08-25,52
2024-09-01,55
2024-09-08,72
2024-09-15,58
2024-09-22,57
2024-09-29,53
2024-10-06,59
2024-10-13,76
2024-10-20,75
2024-10-27,77
2024-11-03,81
2024-11-10,74
